"";"cluster";"present_in_n_genomes";"cluster_type_manual";"Afumigatus";"Aoryzae";"Aniger"
"4435";6113;2;"accessory";"";"AO090011000045";"1061186;1060931;1080594;1148908;1079851;132453;1062538;1079735"
"4436";6136;3;"core";"AFUA_3G09600";"AO090005001291";"1091092;1091948;1092045;1145903;1186213;1108785;1108786;1159268;1124429;1124428;1176553;1108787;1027068;1137183;1124430;1166371;56454;1153220;1076197;1069400;1071930"
"4437";6142;1;"singleton";"";"";"1179164;1139733;1225512;1188220;1168276"
"4438";6131;1;"singleton";"";"";"1131732;1170933;1162273;1204049;44877;1181909"
"4439";6133;1;"singleton";"";"";"1171754;1132523;1162858;1206143;35827;1182542"
"4440";6141;3;"core";"AFUA_2G03520";"AO090120000230;AO090005000493";"1164817;1135194;1184589;1174500;180515;1158169;1087719;1087885;1151805;1212915;1121186;1121187;1121185;1087917;1069784;1074711;1077487;1105547;1105549;1105548;1212913"
"4441";6139;1;"singleton";"";"";"1187579;1138813;1223119;1167664;1178227"
"4442";6140;1;"singleton";"";"";"1091972;121777;1153151;1091603;1076678;1060670;1066170;1137077;1176445;1091196"
"4443";6094;3;"core";"AFUA_3G09020";"AO090005001360";"1159245;1166335;1153197;1092095;1137140;1124370;1124371;1124372;1186175;1092005;1077623;1108729;1176510;1072453;1108727;49072;1073046;1108728;1218338;1091735"
"4444";6045;3;"core";"AFUA_2G16360";"AO090102000227";"1151436;1173803;48862;1211185;1072594;1164294;1086633;1120469;1120470;1086405;1157889;1075680;1184038;1104837;1104836;1134528;1211188;1120468;1086890;1070904"
"4445";6129;3;"core";"AFUA_3G05400";"AO090020000010";"1077243;1128581;1128580;1225744;1112933;1112932;1071601;1188274;1160616;1095469;1096741;1179218;53111;1154993;1073762;1128579;1225740;1095257;1112931;1168328;1225738;1139787"
"4446";5717;2;"accessory";"";"AO090010000678";"1116688;1131673;1181872;1203929;1081871;1170869;1162243;1156555;1068262;1149631;1101080;44817;1203927"
"4447";5913;1;"singleton";"";"";"1154326;1095024;1060161;1138878;1095000;132049;1065295;1095033;1064372;1178293"
"4448";5742;3;"core";"AFUA_6G00440";"AO090003000777";"1175334;174759;1152319;1215204;1135997;1088230;1079500;1089688;1068333"
"4449";6150;2;"accessory";"";"AO090026000485";"1152122;1090269;1135666;1089411;1174993;1214340;1089478;174876;1078969;1072990;1071114;1152130"
"4450";6154;2;"accessory";"";"AO090005000599";"1162411;1204725;52058;1101424;1101425;1182062;1156692;1117037;1117038;1171191;1204727;1149845;1076579;1083437;1204723;1077290;1082956;1083260;1076380;1117036;1101423;1142350;1131978"
"4451";6153;2;"accessory";"AFUA_3G01340";"";"1164085;1183813;1173504;40511;1014609;48710;1143820;1134241"
"4452";6152;1;"singleton";"";"";"1134946;1212257;1164606;1184367;1144262;1174242"
"4453";6149;3;"core";"AFUA_3G03300";"AO090005000554";"1062704;1090254;1135993;175016;1088412;1175330;1059313;1152316"
"4454";6096;3;"core";"AFUA_2G12300";"AO090026000420";"1165253;1135723;173727;1144859"
"4455";6148;3;"core";"AFUA_7G01190";"AO090010000101";"1073855;1084646;1069094;1073502;1084802;190116;1150627;1172484;1133235;1084533"
"4456";6100;1;"singleton";"";"";"194740;1138764;1178173"
"4457";6167;3;"core";"AFUA_3G09290";"AO090005001300";"1124412;1124413;1091671;1092181;1091107;1186203;1078008;1166361;1108768;1145895;1176543;1159260;1108770;1108769;1153214;1027024;1069933;210655;1137173;1027008;1078627;1027016;1145896;1124411"
"4458";5984;3;"core";"AFUA_4G03980";"AO090011000319";"1115625;49234;1181323;1080940;1065831;1149181;1115626;1081656;1115627;1081302;1170186;1066443;1202038;1100021;1063662;1161733;1156193;1100022;1131027;1100020;1141768"
"4459";5260;3;"core";"AFUA_7G01000;AFUA_6G11430";"AO090023000467";"1098494;1098572;1129802;1129801;1098965;1114148;1114149;1114150;1169213;55742;1189221;1180325;1042420;1129800;1155515;1140848;1148468;1148469;1161064;1066874;1075425;1070833;1042421;1042423"
"4460";6171;2;"accessory";"AFUA_2G10640";"";"1165338;1106514;1122149;1122150;1122151;1106512;1106513;1135826;1021406;1175158;206831;1021407;1088593;1064557;1089882;1088150;1077923;1073785;1144945;1144944;1185130"
"4461";6169;1;"singleton";"";"";"1215290;1185314;1165520;1136032;1175367;37178"
"4462";6173;1;"singleton";"";"";"1149904;1101556;1162494;1171311;1061975;1132093;1205002;1117169;1182155;1084164;1156741"
"4463";5978;3;"core";"AFUA_3G11760";"AO090003000737";"1135953;1088761;1175288;47040;1076076"
"4464";6174;3;"core";"AFUA_7G02320";"AO090038000611";"1183157;1157366;1103370;1118984;1208247;1172625;1133373;1150736;1069882;1084249;1103369;1208251;1118983;1070431;190167;1084450;1103368;1208249;1118982;1084543;1073954;1143270;1163455"
"4465";6170;3;"core";"AFUA_6G12250;AFUA_1G04120";"AO090009000195;AO090003000943";"1189443;1155720;1130222;1130221;1130220;1099011;1074732;1098686;1169431;55680;1070429;1114570;1114569;1161210;1069107;1098338;1043573;1141148;1114571;1117142;1101529;1204952;1084125;1204950;1117141;1101527;1132074;1083865;1117140;1162479;1149893;172523;1171292;1156731;1204948;1182140;1101528;1074071;1083829;1073022;1076557;1148664;1006170;1148665;1180632"
"4466";2609;2;"accessory";"AFUA_6G04460";"";"1163977;1183696;1104342;1173370;1210040;1119971;40383;1173371;1210042;1104343;1104344;126969;1086647;1061613;1119972;1119973;1087136;1087105;1072738;1076771;1134118"
"4467";6168;1;"singleton";"";"";"1187524;1138758;1167618;1033982;1178167"
"4468";6180;1;"singleton";"";"";"1154501;1178555;1065257;1096094;1068789;1063340;38907;1096122;1139132;1096211"
"4469";6182;3;"core";"AFUA_3G12150";"AO090003000775";"1215196;1152317;37145;1175332;1061082;1185281;1089197;1122432;1106795;1215195;1165486;1135995;1215198;1158599"
"4470";6143;3;"core";"AFUA_5G10580";"AO090010000479";"1100464;1170459;56589;1100463;1069935;1081508;1149371;1156346;1116069;1181544;1081572;1116068;1073664;1202779;1202775;1161939;1131286;1141937"
"4471";6190;1;"singleton";"";"";"1106426;1067230;1214639;1090223;1214641;1158470;1152176;1135769;1175099;1165289;1185079;1122064"
"4472";6193;3;"core";"AFUA_6G12440";"AO090009000168";"1180614;1155707;1130184;1043473;1141129;1078303;1072550;1070155;1130183;1130182;207663;1098479;1114532;1098713;1169414;1114531;1189427;1161198;1098984;1114533"
"4473";6179;3;"core";"AFUA_3G07270";"AO090020000197";"1158814;1165802;1088709;1136394;1107460;1107459;1107461;1088344;1065409;1152578;1088849;1062960;1185615;1062316;1123097;1123096;1123095;1216208;37531;1175747;1145396"
"4474";6191;3;"core";"AFUA_2G08970";"AO090011000799";"1085576;1085158;1208848;1133553;1072115;1103698;1103699;1157468;1163600;1119317;1119315;1119316;1150856;1072111;1183305;1172809;1085477;1067695;1103700;49671"
"4475";6194;1;"singleton";"";"";"1161276;1169525;1189541;1114727;1229470;1078525;1097784;1114726;1098792;1130378;1180770;215086;1130377;1155810;1141284;1114725;1229472;1130376;1069310;1099021;1074474"
"4476";4140;2;"accessory";"AFUA_3G02830";"AO090023000667";""
"4477";5198;3;"core";"AFUA_8G06760";"AO090005000226";"1150041;1205773;1132359;1205774;1162723;1182400;1171585;35994;1078867;1084738;1132992;1084625;1074428;190128;1150439;1172247"
"4478";3644;1;"singleton";"";"";"1178666;1154584;1095244;1064743;140405;1139245"
"4479";6201;3;"core";"AFUA_5G08620";"AO090020000422";"1092697;1125524;1153688;1159633;1109887;1029808;1177229;1186754;1166890;1093653;1125525;1125526;1092899;1062419;1109889;1109888;1063681;1137842;214619;1146354;1059128"
"4480";6199;2;"accessory";"";"AO090001000099;AO090020000222";"1078531;1098399;1155814;1061639;1107493;1088402;1123129;1216294;37552;1077951;1074777;175854;1098310;1180781;1098134;1141294"
"4481";6198;2;"accessory";"";"AO090103000159";"1202634;1131245;1170415;1181504;1156316;1202636;1080880;1149338;1065347;1100379;1115984;1100377;1066943;1080627;1115982;1064700;185357;1115983;1081124;1100378;1161901"
"4482";6202;3;"core";"AFUA_2G15150";"AO090012000296";"1066965;1148976;1130677;1169823;50157;1079961;1080060;1065198;1064580;1080520"
"4483";6196;1;"singleton";"";"";"1185091;1021191;1122075;1144901;1165300;1158475;206769;1106437;1135784;1089846;1152184;1021190;1065960;1144900;1144899;1175114"
"4484";1825;3;"core";"AFUA_3G09240";"AO090005001312;AO090701000633";"1095859;1078472;1112772;1139714;1077827;1096598;1096508;1112774;1179144;1160566;1154941;1128421;1128420;1078443;53077;1128422;1168259;1225466;1188203;1112773;1147550"
"4485";6197;1;"singleton";"";"";"1174280;1087650;1071013;1184396;1212382;1105339;1164637;1151710;1087318;1212378;1070106;1212384;1134985;1158082;1105338;1120976;1120977"
"4486";5752;2;"accessory";"";"AO090166000073";"1097387;1155009;1179232;1097534;1097415;1139800;1076778;187189;1079474;1079626"
"4487";6155;3;"core";"AFUA_1G10190";"AO090038000412";"52785;1227437;1168897;1140466;1188881;1179922;1098685;1227439;1129432;1227440;1098765;1129433;1063901;1113785;1065196;1113786;1148168"
"4488";6205;3;"core";"AFUA_7G04190";"AO090103000119;AO090005000104";"1066352;1082111;1170759;1116526;1116525;1162160;1067926;213708;1082182;1181784;1082189;1064786;1004550;1004551;1156499;1131570;1100921;1142141;1100922;1149564;1116527;1100923;1158455;1152161;1090078;1090129;1185053;1135738;1122020;1122019;1059527;1122018;1059523;1106381;1106382;1106383;1068265;1214551;1165263;1175068;1089045;36895;1004553;1004555;1144868"
"4489";6209;1;"singleton";"";"";"1175361;1079069;1147392;1136026"
"4490";5775;2;"accessory";"";"AO090038000053;AO090011000192";"1172948;1150930;1085678;1085641;1085185;1079071;1079140;1150941;1133693;49611;1079520"
"4491";6077;2;"accessory";"";"AO090102000198";"1085348;1172922;1069810;1085734;1150917;1085152;1133664;1079052;1079144;42286"
"4492";5074;3;"core";"AFUA_1G04450";"AO090003000906";"1149908;1117174;1171319;1117175;1117173;1162500;1182161;1063971;1082420;36253;1132100;1205016;1062713;1101560;1156744;1101561;1082395;1083357;1205021;1101562;1065168"
"4493";6204;3;"core";"AFUA_5G10550";"AO090010000482";"1149372;1116077;1116076;1156347;1100473;1116078;1131289;1170462;1181547;1003318;1100471;1161942;211159;1141943;1141944;1100472;1075088;1077025;1081402;1073558;1081199;1080751;1003322;1003325"
"4494";6219;3;"core";"AFUA_2G03580";"AO090120000226";"1121191;1121192;1072015;1135197;1072644;1105553;1105554;1164819;1087774;1087764;56159;1018575;1151807;1184591;1105555;1121193;1174503;1212936;1087702;1071089;1144465;1158171"
"4495";6112;3;"core";"AFUA_1G09840";"AO090038000455";"1113757;1113758;1113756;1168873;1040468;1188854;52796;1129404;1129405;1129406;1098302;1099073;1099025;1179892;1140440;1065924;1076935;1070619"
"4496";6229;1;"singleton";"";"";"1073731;1084930;1084710;1150640;1084611;1076892;1073415;1133251;43722"
"4497";6210;1;"singleton";"";"";"1151520;1086324;40891;1070435;1134625;1173899"
"4498";6231;3;"core";"AFUA_6G12950;AFUA_2G04010";"AO090003000417;AO090005001530";"1098858;1071374;1075102;1098498;1098396;1228936;1130088;1169374;1130086;1130087;1180569;1161174;1043186;1189384;55704;1141087;1114435;1114437;1114436;1155681;1135236;1164851;1158188;1105597;1087428;1151826;1087542;1121233;1121234;56145;1018779;1174542;1105595;1121235;1105596;1087754;1184627;1043189;1066047;1079584;1078923;1018780;1018781;1148599;1148600;1076391"
"4499";4998;2;"accessory";"AFUA_4G01080";"AO090001000172;AO090102000192";""
"4500";3154;1;"singleton";"";"";"1176446;1091615;1153152;41242;1078860;1137078"
"4501";6233;1;"singleton";"";"";"1065615;1153812;1093379;44529;1064398;1177409;1138012;1093358;1065328;1093743"
"4502";6218;3;"core";"AFUA_4G12260";"AO090009000427";"1150067;1058943;1101981;1007782;1083258;1062726;1062730;1156891;1083823;1101979;1082537;1171636;1162772;1117590;1117588;1117589;1182449;1101980;215102;1132409;1142713"
"4503";6230;1;"singleton";"";"";"1093667;1058902;1093220;1177013;1153512;1137635;1067988;1092796;194140;1064546"
"4504";6225;2;"accessory";"AFUA_6G10320";"";"1223599;1139015;1187709;1223600;1178433;38790;1154418;1160213;1068292;1223602;1063910;1061100;1095923;1095742;1095482;1111737;1111738;1127383;1127385;1127384;1111736;1167789"
"4505";6221;1;"singleton";"";"";"1095496;1067734;1139169;1178591;142228;1154526"
"4506";1021;3;"core";"AFUA_3G08060";"AO090005001473";"1215893;1066589;1165688;1107247;1107248;1088477;1152498;1136258;1158745;37396;1065367;1175601;1122883;1122884;1090071;1185494;1215894"
"4507";6239;1;"singleton";"";"";"1099117;1059531;1141335;1189560;1180824;1229548;1169542;1229546;1180823;1141334;1155858"
"4508";2710;3;"core";"AFUA_2G13030;AFUA_2G13020";"AO090026000265;AO090026000334";"55517;1135531;1088196;1072944;1165084;1076758;1184864;1088188;1121651;1121652;1121650;1174850;1106013;1213881;1076061;1088692;1106014;1106015;1158343;1152029;1213875;1165083;1135530;1213873;1174848;1184863;1158342;1106012;1106010;1106011;1121647;1121649;1121648;1089494;1088209;1089713;1062764;1059476;1079150;1144710;1144709;1152028"
"4509";6246;1;"singleton";"";"";"1207784;1157266;1084669;1207782;1075016;132837;1072658;1084776;1118693;1103078;1207780;1084803;1118694;1118695;1103079;1103080;1172452;1183030;1072352;1133202;1163335;1150600"
"4510";5939;2;"accessory";"";"AO090011000712;AO090005000220";"1166563;1137413;1109156;1109157;1059095;1186415;1092054;1153359;1176786;1124798;1124797;1159388;1091470;183349;1065131"
"4511";6175;1;"singleton";"";"";"1227768;1155416;1227770;1140593;198680;1180056"
"4512";5902;3;"core";"AFUA_4G04110";"AO090206000082";"1099995;1099994;1080939;1064540;1202017;1081387;1115600;1115599;1059533;1170172;1181311;1161723;1149172;1202015;1131015;1156186;1115598;1081711;1064151;1202011;1099993;201372;1141753;1141754"
"4513";6247;3;"core";"AFUA_6G14280";"AO090103000456";"1129858;1129859;1129857;1228505;1098948;1098799;1155546;1189268;1098086;1180380;1161092;1140904;207841;1228507;1169259;1114205;1114206;1114207;1072135;1075949;1077133"
"4514";6252;1;"singleton";"";"";"1067748;1165946;1107799;1175929;1152731;1123437;1123438;1123439;1063353;1158928;1185761;1090614;193092;1136573;1107800;1107801;1216767;1216769;1090547;1067835;1090556"
"4515";6254;1;"singleton";"";"";"1180477;1098918;1098906;1155625;1140998;1072603;1075051;1099038;1069187;37994"
"4516";6256;3;"core";"AFUA_2G08350";"AO090011000870;AO090001000215";"1085819;1208647;1157431;1150805;1103577;1103579;1133468;1103578;1119194;1119193;1119195;1074776;1172722;1085842;1183247;1163542;1085580;1073155;42486;1075406"
"4517";6255;3;"core";"AFUA_3G07150";"AO090009000135;AO090020000216";"1060139;1131664;1149625;1081916;1170860;1116669;1116670;1203903;1181863;1082275;1061990;1101066;1101065;1203899;213793;1059802;1082109;1203905"
"4518";6068;3;"core";"AFUA_1G08800";"AO090005001647";"55911;1160881;1188739;1155316;1227131;1179765;1140315;1168768;1227129"
"4519";6265;3;"core";"AFUA_2G09520;AFUA_6G07480";"AO090011000715;AO090005001553";"1176816;1109200;1146077;1146078;1137441;1028248;1186436;1109201;1109202;1166582;214608;1078016;1073599;1074161;1028247"
"4520";6262;1;"singleton";"";"";"1157430;1085530;1150804;1119192;1072055;185974;1103576;1085187;1208646;1172721;1073837;1133467;1208645;1208644"
"4521";6102;2;"accessory";"AFUA_8G04480";"AO090003001277";""
"4522";6253;1;"singleton";"";"";"1098438;1098483;1066464;1141331;1098090;1064791;1066756;132548;1180820;1155854"
"4523";6251;1;"singleton";"";"";"1179336;1155073;1225988;1097117;1097258;1139897;187425;1073137;1069745"
"4524";6261;1;"singleton";"";"";"1129928;1129926;1129927;1114274;1114275;1114276;1042851;1161120;1189309;1076862;1098976;1077300;1098293;1180445;1155591;1140968;1148549;1098622;1074437;198296;1169300"
"4525";6227;3;"core";"AFUA_3G02890";"AO090003001289";"1178138;194627;1094921;1094944;1094942;1070480;1154254;1074376;1070188;1138729"
"4526";6268;1;"singleton";"";"";"1136853;1176213;1091585;122445;1073356;1073889;1091938;1091444;1069411;1075785;1152952"
"4527";1954;3;"core";"AFUA_1G06660";"AO090001000468";"1129146;1129145;1168676;1113498;1113499;1179666;1188642;187727"
"4528";6062;3;"core";"AFUA_4G09180";"AO090023000623";"1171196;46815;1131983"
"4529";5946;3;"core";"AFUA_2G02450";"AO090026000558";"1184473;1164706;1135063;1174367;1212598;200072"
"4530";5658;3;"core";"AFUA_3G07080";"AO090020000279";"1107498;1107497;1107496;1152594;1089796;207435;1158826;1089174;1064530;1165820;1136418;1185634;1123133;1123134;1123132;1024025;1175772;1061971;1066458;1090190;1145409"
"4531";6007;2;"accessory";"AFUA_5G00530";"";"52928;1066046;1154515;1095607;1096235;1059843;1139155;1096441;1062400;1178577"
"4532";6088;3;"core";"AFUA_6G13390;AFUA_5G00460";"AO090003001527";"1093200;1186917;44557;1177436;1220877;1167043;1153836;1093471;1110244;1110243;1138043;1060838;1125882;1159750;1125883;1093234;1125884;1061805;1065106;1110245"
"4533";6274;3;"core";"AFUA_3G14020";"AO090012000726";"1181079;1001006;1115182;1115183;1169916;1099577;1161501;1130765;1141529;212529;1001002;1001009;1079896;1080190;1078027;1078015;1099576"
"4534";6276;3;"core";"AFUA_5G06610";"AO090701000193";"1060250;1079902;1067032;1161417;1155997;1080132;1099423;1099422;1099421;1169795;50166;1130654;1200978;1062651;1148961;1115026;1115024;1115025;1180985;1080150"
"4535";6275;2;"accessory";"";"AO090012000885";"1187324;1177917;1154125;1222336;1066544;1126650;1159995;1111006;1138516;1222335;1167430;1222337;1094283"
"4536";6257;3;"core";"AFUA_1G05330";"AO090003000830";"1117309;1117310;1182242;1062216;1149959;1171405;1084003;1084213;1101697;1066240;1162577;1101698;1156792;46685;1205221;1132186"
"4537";6279;3;"core";"AFUA_2G14900";"AO090012000401";"1183853;1210581;1173548;1134284;48740;1164124"
"4538";6280;1;"singleton";"";"";"1140409;1188829;1227343;1179861;1168850;1160916;1098256;47702;1129385;1129384;1129386;1097913;1097840;1070026;1069367;1074354;1113737;1113738;1113739;1155352"
"4539";5986;3;"core";"AFUA_4G06850";"AO090023000899";"1159862;1110565;1063732;1126206;1153971;1093812;1221579;1126208;1126207;1062010;1177639;1187087;1058926;1167208;1138248;1110567;1110566;1094734;190481;1094551;1221578;1031675"
"4540";6278;1;"singleton";"";"";"1089338;1090015;1215834;1067702;1136240;1215837;1152485;1062646;1063271;173463;1175584;1088752"
"4541";5701;3;"core";"AFUA_2G11790;AFUA_2G11800";"AO090026000463";"1135683;1185003;1020763;1175011;175169;1185004;1175012;1106295;1106294;1020764;1121934;1121933;1144818;174735;1088028;1063478;1090224;1144817;1063593;1144819;1165216"
"4542";6163;3;"core";"AFUA_4G07580";"AO090023000817";"1154001;1167257;1126308;1126307;1177695;1126306;1187138;1110664;1110665;57072;1159889;1110666;1094398;1064923;1093843;1094051;1063737;1061808;1031924;1146697;1138304"
"4543";5055;2;"accessory";"AFUA_3G03020";"AO090001000101";""
"4544";6238;1;"singleton";"";"";"1178729;52971;1065880;1139307;1035964;1167999;1112202;1160365;1096707;1154630;1127849;1147356;1147357;1187926"
"4545";6272;3;"core";"AFUA_2G06150";"AO090001000733";"1107666;1107668;1107667;1136501;1158880;1059796;1024513;1089993;1061692;1066005;1090085;1152649;1175859;1123301;1123302;1123300;51610;207531;1088115;1185717;1145480;1165901"
"4546";6267;3;"core";"AFUA_3G14240";"AO090020000619";"1099552;1099553;1099554;1079818;1099555;54354;1061440;1169898;1130748;1156047;1000916;1156046;1141511;1161486;1115161;1115158;1115160;1115159;1181063;1149017;1079949;1080324;1075849;1149012;1070185;1000915;1080424;1076718"
"4547";5066;3;"core";"AFUA_1G11830";"AO090001000381";"1169017;1140613;38375;1180079;1189014;1041346;1148279"
"4548";6290;2;"accessory";"AFUA_4G14080;AFUA_4G14085";"";"1119753;1086072;1151096;1157625;1069561;1119755;1104128;1086170;1209655;1075017;1104125;1163869;1209657;1133976;1104129;1119756;1071150;1173232;1086076;1183584;1119754;1075276;1209649;1104126;1086093;1163868;1133975;1209645;1119752;1086172;1209647;1183583;1173231;1104127;1070263;1209651"
"4549";6289;1;"singleton";"";"";"1127157;1167694;1127156;1138861;1154305;1111511;1111510;1178275;1187609;1095068;1095094;1095049;1066603;1160141;1223230;1060391;121799;1059205;1111512;1127158"
"4550";6291;2;"accessory";"AFUA_2G05070";"";"1127819;1095902;1065308;1127820;1139291;1035875;1167987;1095586;1064103;1187911;1178711;1112172;1112174;1112173;39069;1064122;1096393;1147343;1127821"
"4551";6297;1;"singleton";"";"";"1082089;1082202;1149706;213834;1060434;1171001;1131797;1059099"
"4552";6130;3;"core";"AFUA_2G09860";"AO090011000649";"200921;1070510;1186356;1153310;1137338;1109057;1109058;1109056;1075308;1073423;1176710;1166506;1091916;1218881;1159350;1124698;1124699;1124700;1092099;1092102;1146024;1146025"
"4553";6293;3;"core";"AFUA_7G06630";"AO090023000045";"1161428;1130667;1000612;1180999;1169811;1141460;43347"
"4554";5807;2;"accessory";"AFUA_4G13820";"AO090023000585";""
"4555";6306;1;"singleton";"";"";"1201874;1161684;1201872;1081705;1149143;1156159;1099916;1066103;1115521;1081465;1099914;1115519;1064565;1115520;1081449;1062642;184665;1201870;1099915;1170133;1181274;1130974"
"4556";6299;3;"core";"AFUA_1G14560";"AO090003000476";"1163075;1078522;1102527;1102529;1102528;1071007;1182769;205517;1157085;1150313;1083535;1009299;1172043;1083707;1118138;1082310;1118137;1118136;1075989;1009300;1132797"
"4557";6303;1;"singleton";"";"";"1162831;1132485;1182512;1206065;171318;1156920;1206067;1150098;1142771;1171714"
"4558";6270;3;"core";"AFUA_4G07570";"AO090023000818";"1159888;1031921;1126304;1126305;1154000;1187137;1177694;1059593;1060276;1094289;1167256;1094805;50549;1110662;1110663;1138303;1059119;1110661;1093956;1126303"
"4559";6298;1;"singleton";"";"";"1093177;1221085;1064079;1110328;1221084;1159780;1153886;1167081;1138104;1221086;1093094;1093053;1186956;1065889;1221082;1125968;1125967;1110327;1110329;1177500;1068731;141096;1125966"
"4560";6309;1;"singleton";"";"";"1131792;1170996;1065578;1081947;132412;1070170;1082121;1081983;1077531;1149703"
"4561";6244;2;"accessory";"";"AO090701000334";"1178642;1068238;1096232;1139221;1096115;1096861;38999;1154566;1078991;1079548"
"4562";6323;2;"accessory";"";"AO090012000668";"1205718;1132344;36015;1171568;1182384;1182385;1171569;36014;1162709"
"4563";6325;1;"singleton";"";"";"1174713;1151916;1088716;1089313;1135398;1069493;1088076;1070233;173899;1078223"
"4564";4823;2;"accessory";"";"AO090701000410";"1069012;1097947;1129979;1129978;1228735;1098543;1075212;1098706;1114327;1114325;1114326;1129977;1073252;1161139;1155628;1228734;47354;1170950;1149676;1081867;1062831;1081803;1082232;50919;1064096;1064511;1141001;1180480;1228736;1189327;1169316;1131748"
"4565";5748;1;"singleton";"";"AO090023000026;AO090138000007";""
"4566";6328;3;"core";"AFUA_2G02100";"AO090011000486";"1018079;1184515;53232;1121100;1121099;1121098;1174414;1105462;1105461;1105460;1135110;1158134;1144385;1164746;1087231;1087738;1068986;1075734;1079018;1087796;1151768"
"4567";6326;3;"core";"AFUA_7G02010";"AO090038000578";"1103314;1118930;1118929;1150718;1143243;1084338;1085114;1133343;1084745;1157350;1172595;1163429;1075175;1118928;1103313;1103315;1183130;1010959;212820;1074590;1071961;1143241;1143242;1010962;1010960"
"4568";6329;1;"singleton";"";"";"1160175;1111606;1223384;1096180;1154368;1060128;1223383;1138941;1167734;1067872;1127253;1178354;1111605;1187649;1095228;1127252;1096616;1063464;122793;1111607;1127254"
"4569";6172;1;"singleton";"";"";"1093787;1138500;1061015;1093821;1154115;1064028;1093977;190290;1065832;1177901"
"4570";6337;1;"singleton";"";"";"1183356;1133627;1172883;1209014;139758;1163650"
"4571";6330;1;"singleton";"";"";"1228477;1155536;1189260;1180369;176968;1169251;1228481;1140894;1148511;1161088"
"4572";6334;1;"singleton";"";"";"1131682;1081875;1082014;1082051;1149636;191795;1079786;1181029;1169857;1148989;1080492;1156022;1201122;1115099;1115098;1115100;1080164;188174;1071715;1070023;1072268;1143172;1170877"
"4573";6308;3;"core";"AFUA_2G15410";"AO090012000284";"56345;1164212;1134428;1151376;1104705;1104706;1073297;1086375;1086364;1173700;1157838;1069563;1120339;1120337;1120338;1183947;1210909;1086292;1104707;1070142"
"4574";6331;1;"singleton";"";"";"1083718;1083770;1172181;1150400;1082831;172856;1069655;1072962;1078011;1132932"
"4575";6335;3;"core";"AFUA_7G00350";"AO090023000140";"1153719;1030005;1125620;1146383;1166918;1177266;1093457;203868;1137879;1067234;1186784;1109984;1159662"
"4576";6122;3;"core";"AFUA_2G00840;AFUA_4G13900";"AO090701000347;AO090103000421";"1123522;1123523;1158960;1091000;213885;1216900;1067823;1090546;1107881;1165982;1175976;1107883;1062813;1107882;1123521;1152771;1136617;1066463;1185799;1090449"
"4577";6086;3;"core";"AFUA_2G11450";"AO090026000503";"1184974;1165189;1135650;1174976;1214302;46951;1121888;1088175;1121887;1121886;1088488;1088738;1214301;1077275;1069142;1077260"
"4578";6339;1;"singleton";"";"";"1226899;1188643;1179667;1140221;187263;1147937;1168677"
"4579";6273;2;"accessory";"AFUA_7G05300";"";"1087968;1073964;1151631;1164511;1105178;1016747;1120816;1174128;1158020;1184265;181551;1134837"
"4580";6346;3;"core";"AFUA_1G03680";"AO090003000978";"1140095;1226563;1188526;54168;1179539;1147833;1168564"
"4581";6342;3;"core";"AFUA_1G16990";"AO090005000976";"1171826;1206343;1132588;171099;1162915;1117784;1117785;1102175;1102176;1082738;1082582;1068545;1064503;1182604"
"4582";6073;2;"accessory";"AFUA_2G01240";"AO090701000400";""
"4583";5194;3;"core";"AFUA_1G14830";"AO090005001249";"1163095;1132819;1172067;1182790;55261;1009418;1143004;1143005;1206952"
"4584";6355;2;"accessory";"AFUA_3G01940";"";"1107785;1107784;1175917;1090320;1090321;1136559;1068028;1090327;1165940;1185757;1158922;1123423;1123424;1123422;1152716;1065488;1061196;1107786;46137;1216739"
"4585";6236;3;"core";"AFUA_1G09460";"AO090012000927";"1140378;1227283;1188804;1179832;52818;1168826;1097762;1068307;1098954;1078424;1113711;1113712;1129358;1129359"
"4586";6357;1;"singleton";"";"";"1163058;1132778;1206846;1172024;171293;1182751"
"4587";6146;1;"singleton";"";"";"1072430;1153158;1137085;1176453;184174;1091552"
"4588";6354;3;"core";"AFUA_2G14370";"AO090023000078";"1093110;1064119;1153715;1109974;1220351;1159658;1137872;1220354;1166913;1177260;1186779;1146379;1146378;54682;127983;1125610"
"4589";6071;3;"core";"AFUA_6G02130";"AO090120000098";"1173108;1163788;1133850;1012976;1183502;186787;1012977"
"4590";6356;3;"core";"AFUA_2G11710";"AO090026000477";"1175001;1184995;1165208;1135674;175222;1144811;1214352"
"4591";6363;1;"singleton";"";"";"1081456;1081766;53793;1181434;1156270;1149281;1202414;1161834;1170324;1100244;1115848;1100243;1115847;1131157;1062440;1077801"
"4592";6365;1;"singleton";"";"";"1082091;1156605;1116817;1101209;1067274;1101208;1066013;1204212;1116816;1081967;1081849;1060915;1101207;1204210;1116815;1171011;1181949;44950;1131807;1162308;1005247;1142273;1149712"
"4593";4656;1;"singleton";"";"";"1139818;132972;1179249;1155019"
"4594";6358;2;"accessory";"";"AO090113000088";"1184478;1158117;181433;1212613;1151751;1135070;1164712;1212611;1174373"
"4595";6367;1;"singleton";"";"";"1090731;1064280;44958;1091042;1090645;1067643;1152723;1152724;1065904;1175923;1136565"
"4596";6310;2;"accessory";"AFUA_3G03280";"AO090009000102";""
