cluster_number,cluster_type,fumigatus,niger,oryzae
10431,unique,,,AO090038000214
10432,unique,,fgenesh1_pg.chr_302_#_293,
10433,exclusively_absent,AFUA_3G13140,,AO090023000147
10434,core,AFUA_8G02120,fgenesh1_kg.chr_402_#_686_#_80_1_EXTC_EXTD,AO090005001429
10435,unique,AFUA_5G00330,,
10436,core,AFUA_1G11600,estExt_fgenesh1_pg.C_chr_601_t10260,AO090038000262
10437,core,AFUA_6G06890,estExt_Genemark1.C_chr_801_t10471,AO090003000070
10438,unique,,,AO090012000064
10439,exclusively_absent,AFUA_5G01120,,AO090003001298
10440,unique,,,AO090701000382
10441,unique,,,AO090009000562
10442,unique,,,AO090003001481
10443,unique,,gm1.11117_g,
10444,unique,,,AO090010000569
10445,unique,,,AO090011000103
10446,unique,,,AO090023000610
10447,unique,AFUA_4G13770,,
10448,core,AFUA_3G09030,estExt_Genemark1.C_chr_502_t10301,AO090005001361
10449,unique,,,AO090023000417
10450,exclusively_absent,AFUA_1G13180,MIX27725_12_57,
10451,unique,,estExt_fgenesh1_pm.C_chr_402_t20055,
10452,unique,,estExt_Genemark1.C_chr_701_t10032,
10453,core,AFUA_1G13140,e_gw1.802.1196.1,AO090012000577
10454,unique,,fgenesh1_pg.chr_304_#_558,
10455,exclusively_absent,AFUA_5G01500,estExt_fgenesh1_pm.C_chr_3040311,
10456,unique,,,AO090102000309
10457,unique,,fgenesh1_pg.chr_302_#_269,
10458,unique,,estExt_Genewise1.C_chr_402_t10030,
10459,unique,,e_gw1.304.337.1,
10460,exclusively_absent,AFUA_4G08715,MIX26118_1_10,
10461,unique,,gm1.6007_g,
10462,unique,,,AO090206000119
10463,unique,,Aspni5.estExt_fgenesh1_pg.C_120167,
10464,unique,,,AO090038000151
10465,unique,,e_gw1.701.1093.1,
10466,exclusively_absent,,CE11136_50,AO090038000607
10467,core,AFUA_6G08160,estExt_Genemark1.C_chr_701_t10171,AO090003000107
10468,unique,,fgenesh1_kg.chr_304_#_242_#_2309_1_CATW_CATX_CATY_CATZ,
10469,unique,,,AO090003000986
10470,unique,,,AO090113000020
10471,unique,AFUA_2G13950,,
10472,core,AFUA_6G08740,e_gw1.701.415.1,AO090001000548
10473,unique,AFUA_8G03950,,
10474,unique,,Aspni5.fgenesh1_pg.C_scaffold_3000308,
10475,unique,,Aspni5.fgenesh1_pg.C_scaffold_9000197,
10476,unique,,fgenesh1_pg.chr_401_#_311,
10477,exclusively_absent,AFUA_4G06390,estExt_fgenesh1_pg.C_chr_602_t10053,
10478,unique,,Aspni5.fgenesh1_pg.C_scaffold_4000409,
10479,core,AFUA_4G07800,MIX21391_25_66,AO090023000791
10480,unique,,fgenesh1_pm.chr_304_#_216,
10481,unique,,estExt_Genewise1.C_chr_402_t10110,
10482,unique,,,AO090113000164
10483,unique,,,AO090010000144
10484,core,AFUA_1G07040,estExt_fgenesh1_pg.C_chr_401_t20178,AO090012000956
10485,core,AFUA_8G02470,estExt_Genewise1Plus.C_chr_601_t30025,AO090010000660
10486,unique,,Aspni5.fgenesh1_pg.C_scaffold_8000166,
10487,unique,,fgenesh1_pm.chr_102_#_91,
10488,unique,,MIX21483_3_35,
10489,core,AFUA_6G05040,estExt_fgenesh1_pg.C_chr_304_t10029,AO090701000034
10490,core,AFUA_6G05140,Aspni5.estExt_Genewise1.C_60056,AO090701000022
10491,unique,,fgenesh1_pg.chr_304_#_116,
10492,unique,,estExt_Genewise1Plus.C_chr_502_t20072,
10493,unique,AFUA_5G08920,,
10494,unique,AFUA_8G03905,,
10495,unique,,,AO090009000526
10496,core,AFUA_1G06190,estExt_Genemark1.C_chr_801_t10402,AO090001000430
10497,core,AFUA_1G17140,estExt_Genemark1.C_chr_202_t20291,AO090010000592
10498,core,AFUA_2G07600,CE11429_69,AO090011000933
10499,exclusively_absent,,Aspni5.fgenesh1_pg.C_scaffold_15000131,AO090038000507
10500,core,AFUA_4G09910,gm1.8550_g,AO090003001242
10501,exclusively_absent,AFUA_5G09020,,AO090020000482
10502,unique,,,AO090003001449
10503,unique,,fgenesh1_pg.chr_501_#_109,
10504,core,AFUA_6G04890,estExt_fgenesh1_pg.C_chr_102_t10286,AO090701000050
10505,unique,AFUA_3G13465,,
10506,unique,AFUA_3G05470,,
10507,core,AFUA_2G04950,estExt_fgenesh1_pg.C_chr_701_t10385,AO090003000298
10508,unique,,,AO090003000294
10509,unique,,,AO090005001128
10510,unique,AFUA_1G11360,,
10511,unique,AFUA_6G03680,,
10512,unique,AFUA_2G00420,,
10513,unique,AFUA_4G10140,,
10514,exclusively_absent,,estExt_Genemark1.C_chr_602_t10433,AO090005000195
10515,unique,,,AO090001000673
10516,unique,,estExt_fgenesh1_pm.C_chr_5020142,
10517,exclusively_absent,,estExt_Genemark1.C_chr_401_t20206,AO090012000946
10518,exclusively_absent,,MIX19631_3_24,AO090023000347
10519,unique,,gm1.7457_g,
10520,unique,,estExt_fgenesh1_pg.C_chr_601_t10333,
10521,unique,AFUA_8G06150,,
10522,unique,,gw1.402.1456.1,
10523,unique,,Aspni5.fgenesh1_pg.C_scaffold_9000334,
10524,core,AFUA_3G10090,estExt_Genemark1.C_chr_502_t10398,AO090003000543
10525,core,AFUA_2G10170,fgenesh1_pg.chr_502_#_461,AO090011000619
10526,exclusively_absent,AFUA_8G05400,MIX18822_11_53,
10527,unique,AFUA_5G00810,,
10528,unique,,,AO090005000483
10529,unique,,,AO090701000236
10530,core,AFUA_1G17750,Aspni5.e_gw1.5.1149.1,AO090026000620
10531,unique,AFUA_8G02060,,
10532,exclusively_absent,,fgenesh1_pg.chr_302_#_131,AO090701000664
10533,core,AFUA_7G00640,fgenesh1_pg.chr_401_#_104,AO090113000158
10534,exclusively_absent,,gm1.4092_g,AO090010000686
10535,unique,,gm1.2428_g,
10536,core,AFUA_5G13330,gm1.949_g,AO090120000478
10537,unique,,MIX2108_3_35,
10538,unique,,Aspni5.fgenesh1_pg.C_scaffold_2000581,
10539,unique,,,AO090020000494
10540,core,AFUA_5G06240,estExt_Genewise1Plus.C_chr_501_t10481,AO090009000634
10541,unique,,estExt_Genewise1.C_chr_502_t10216,
10542,unique,,,AO090010000230
10543,core,AFUA_1G13370,estExt_fgenesh1_pm.C_chr_802_t10176,AO090012000545
10544,core,AFUA_2G01280,e_gw1.601.1140.1,AO090701000403
10545,core,AFUA_4G06910,fgenesh1_pg.chr_602_#_106,AO090023000895
10546,exclusively_absent,,estExt_Genewise1Plus.C_chr_102_t10376,AO090010000713
10547,unique,AFUA_3G06720,,
10548,core,AFUA_1G02730,CE9664_619,AO090120000053
10549,unique,AFUA_4G08230,,
10550,unique,AFUA_2G05270,,
10551,exclusively_absent,,MIX2633_3_28,AO090011000128
10552,unique,,fgenesh1_pg.chr_602_#_256,
10553,unique,,,AO090003000183
10554,unique,,,AO090001000127
10555,unique,,,AO090012000231
10556,unique,,,AO090701000631
10557,unique,AFUA_5G10220,,
10558,unique,,,AO090005000498
10559,unique,,fgenesh1_pg.chr_401_#_629,
10560,exclusively_absent,AFUA_4G00110,,AO090003000525
10561,core,AFUA_4G14650,gw1.304.407.1,AO090038000092
10562,unique,,,AO090023000174
10563,unique,AFUA_5G14670,,
10564,core,AFUA_2G00120,Aspni5.fgenesh1_pg.C_scaffold_9000331,AO090012000330
10565,core,AFUA_4G12700,e_gw1.601.1069.1,AO090009000298
10566,core,AFUA_8G05810,Aspni5.e_gw1.6.909.1,AO090005000570
10567,unique,,gm1.7511_g,
10568,core,AFUA_6G07520,estExt_Genewise1Plus.C_chr_401_t20183,AO090005001548
10569,exclusively_absent,AFUA_4G10930,e_gw1.301.253.1,
10570,core,AFUA_6G07940,estExt_fgenesh1_pg.C_chr_701_t10235,AO090003000140
10571,core,AFUA_2G11140,fgenesh1_pg.chr_402_#_249,AO090026000538
10572,exclusively_absent,,fgenesh1_pm.chr_801_#_48,AO090011000059
10573,unique,,gw1.402.1944.1,
10574,core,AFUA_4G03450,fgenesh1_pg.chr_102_#_209,AO090011000213
10575,unique,,Aspni5.estExt_fgenesh1_pm.C_10345,
10576,core,AFUA_1G09980,MIX27006_30_40,AO090038000434
10577,core,AFUA_6G13530,estExt_fgenesh1_pg.C_chr_802_t20152,AO090103000333
10578,exclusively_absent,,gm1.3312_g,AO090103000196
10579,unique,,,AO090038000119
10580,core,AFUA_5G11280,fgenesh1_pg.chr_202_#_228,AO090026000715
10581,core,AFUA_5G10670,fgenesh1_pm.chr_801_#_50,AO090012000237
10582,unique,,estExt_Genewise1Plus.C_chr_402_t40234,
10583,unique,,gm1.6804_g,
10584,unique,,,AO090701000599
10585,unique,,,AO090023000499
10586,unique,,,AO090010000588
10587,unique,,,AO090011000678
10588,core,AFUA_4G07030,fgenesh1_pg.chr_602_#_116,AO090023000883
10589,exclusively_absent,AFUA_5G07840,,AO090701000692
10590,exclusively_absent,,estExt_Genemark1.C_chr_401_t10052,AO090012000753
10591,unique,,CE33052_108,
10592,unique,,,AO090038000115
10593,exclusively_absent,,e_gw1.602.467.1,AO090023000251
10594,unique,,fgenesh1_pg.chr_701_#_469,
10595,exclusively_absent,,e_gw1.701.427.1,AO090138000176
10596,core,AFUA_1G02090,fgenesh1_pg.chr_701_#_700,AO090001000273
10597,exclusively_absent,AFUA_7G05880,fgenesh1_pg.chr_401_#_145,
10598,unique,,fgenesh1_pg.chr_302_#_35,
10599,core,AFUA_6G04170,estExt_Genemark1.C_chr_304_t10130,AO090701000140
10600,core,AFUA_2G14980,estExt_Genemark1.C_chr_304_t10267,AO090012000416
10601,unique,,fgenesh1_pg.chr_202_#_39,
10602,exclusively_absent,AFUA_3G15100,e_gw1.403.66.1,
10603,core,AFUA_1G12640,fgenesh1_pg.chr_802_#_406,AO090012000714
10604,unique,AFUA_7G01140,,
10605,core,AFUA_4G11840,e_gw1.101.894.1,AO090003001032
10606,exclusively_absent,AFUA_1G11140,fgenesh1_pg.chr_802_#_252,
10607,core,AFUA_5G02760,estExt_Genewise1Plus.C_chr_402_t30479,AO090102000393
10608,exclusively_absent,,e_gw1.202.1155.1,AO090003000643
10609,unique,,fgenesh1_pg.chr_502_#_259,
10610,unique,,,AO090020000384
10611,unique,,,AO090005000243
10612,unique,AFUA_2G12820,,
10613,unique,AFUA_2G00260,,
10614,unique,AFUA_3G11520,,
10615,exclusively_absent,AFUA_6G11820,e_gw1.501.393.1,
10616,exclusively_absent,AFUA_7G02040,,AO090038000580
10617,unique,AFUA_6G12190,,
10618,unique,AFUA_5G00590,,
10619,unique,AFUA_1G14420,,
10620,core,AFUA_1G05870,MIX26052_19_93,AO090009000355
10621,core,AFUA_3G06220,gm1.9584_g,AO090020000396
10622,unique,,fgenesh1_pg.chr_402_#_772,
10623,unique,,fgenesh1_kg.chr_303_#_10_#_308_1_CATW_CATX_CATY_CATZ,
10624,core,AFUA_5G02050,estExt_Genewise1Plus.C_chr_502_t10374,AO090003001318
10625,core,AFUA_4G08460,gm1.8263_g,AO090023000716
10626,unique,,MIX12743_1_25,
10627,unique,,,AO090005000360
10628,core,AFUA_3G02320,Aspni5.fgenesh1_pg.C_scaffold_1001041,AO090120000039
10629,core,AFUA_4G08240,MIX21502_14_62,AO090023000745
10630,core,AFUA_3G13440,gm1.5904_g,AO090012000787
10631,unique,,gm1.8257_g,
10632,unique,,,AO090020000255
10633,exclusively_absent,,fgenesh1_pm.chr_403_#_10,AO090010000012
10634,exclusively_absent,AFUA_1G12200,,AO090001000324
10635,unique,,fgenesh1_pg.chr_202_#_30,
10636,core,AFUA_3G09390,gm1.7001_g,AO090005001295
10637,unique,AFUA_1G04350,,
10638,unique,,MIX14972_1_15,
10639,unique,,,AO090012000428
10640,exclusively_absent,,fgenesh1_pg.chr_401_#_227,AO090020000595
10641,core,AFUA_4G06090,CE31229_85,AO090023000986
10642,unique,AFUA_2G12510,,
10643,unique,,fgenesh1_pg.chr_802_#_873,
10644,unique,AFUA_4G00360,,
10645,unique,,,AO090103000284
10646,core,AFUA_5G02450,e_gw1.402.971.1,AO090102000358
10647,core,AFUA_7G04670,estExt_fgenesh1_pg.C_chr_304_t10201,AO090005000159
10648,unique,AFUA_8G00630,,
10649,core,AFUA_1G05680,estExt_Genemark1.C_chr_801_t10261,AO090009000366
10650,exclusively_absent,,estExt_fgenesh1_pg.C_chr_801_t10079,AO090138000010
10651,unique,,,AO090009000351
10652,unique,AFUA_5G14200,,
10653,unique,,,AO090010000431
10654,core,AFUA_4G07940,estExt_Genewise1Plus.C_chr_602_t10340,AO090023000783
10655,exclusively_absent,AFUA_4G00740,,AO090005000004
10656,exclusively_absent,AFUA_2G15440,,AO090103000482
10657,core,AFUA_1G05470,Aspni5.e_gw1.10.838.1,AO090009000397
10658,unique,,estExt_Genewise1Plus.C_chr_202_t30019,
10659,exclusively_absent,,fgenesh1_pg.chr_401_#_341,AO090011000170
10660,core,AFUA_2G11540,estExt_fgenesh1_pm.C_chr_402_t10221,AO090026000492
10661,core,AFUA_2G05630,estExt_Genemark1.C_chr_402_t30113,AO090001000675
10662,unique,,estExt_fgenesh1_pm.C_chr_1010124,
10663,unique,AFUA_5G10320,,
10664,core,AFUA_1G08850,estExt_Genewise1Plus.C_chr_802_t10015,AO090005001642
10665,unique,AFUA_3G12040,,
10666,unique,,Aspni5.fgenesh1_pg.C_scaffold_15000253,
10667,unique,,,AO090012000518
10668,unique,,,AO090020000677
10669,unique,,e_gw1.101.709.1,
10670,unique,,,AO090020000224
10671,unique,,,AO090003000124
10672,unique,,,AO090038000329
10673,unique,,gm1.7394_g,
10674,core,AFUA_1G15610,MIX2048_2_34,AO090005001147
10675,core,AFUA_6G13010,fgenesh1_pg.chr_802_#_775,AO090003000426
10676,unique,,,AO090023000166
10677,unique,,,AO090701000529
10678,unique,,estExt_fgenesh1_pm.C_chr_6010278,
10679,unique,AFUA_2G14640,,
10680,unique,,,AO090023000153
10681,core,AFUA_4G10370,gm1.8502_g,AO090003001180
10682,unique,,estExt_Genemark1.C_chr_802_t10240,
10683,exclusively_absent,AFUA_3G15150,MIX16248_3_47,
10684,unique,,e_gw1.301.706.1,
10685,core,AFUA_3G09190,e_gw1.502.175.1,AO090009000031
10686,unique,,fgenesh1_pg.chr_302_#_213,
10687,core,AFUA_2G16350,fgenesh1_pg.chr_304_#_512,AO090102000229
10688,unique,AFUA_4G00420,,
10689,exclusively_absent,,estExt_fgenesh1_pm.C_chr_3040206,AO090102000040
10690,unique,,e_gw1.502.1070.1,
10691,exclusively_absent,AFUA_7G00700,gm1.6375_g,
10692,unique,AFUA_2G12650,,
10693,unique,,gw1.301.74.1,
10694,core,AFUA_2G15960,estExt_Genewise1.C_chr_304_t20200,AO090012000208
10695,exclusively_absent,,Aspni5.e_gw1.15.430.1,AO090023000363
10696,unique,AFUA_4G03290,,
10697,unique,,,AO090012000678
10698,unique,,,AO090003000781
10699,unique,,,AO090038000208
10700,unique,,fgenesh1_pm.chr_502_#_83,
10701,unique,,gm1.6064_g,
10702,unique,,,AO090011000154
10703,unique,AFUA_7G06460,,
10704,unique,AFUA_2G11570,,
10705,exclusively_absent,AFUA_7G05110,Aspni5.e_gw1.6.373.1,
10706,unique,AFUA_2G12540,,
10707,unique,AFUA_5G01580,,
10708,exclusively_absent,,MIX5510_7_33,AO090009000443
10709,unique,,estExt_Genemark1.C_chr_802_t30015,
10710,unique,,estExt_fgenesh1_pg.C_chr_302_t10380,
10711,unique,,fgenesh1_pg.chr_202_#_1150,
10712,unique,,Aspni5.fgenesh1_pg.C_scaffold_6000553,
10713,unique,,,AO090701000241
10714,exclusively_absent,AFUA_5G09920,,AO090010000540
10715,core,AFUA_8G05040,CE28569_46,AO090005000638
10716,unique,,MIX8240_5_29,
10717,unique,,fgenesh1_pg.chr_302_#_309,
10718,exclusively_absent,,fgenesh1_pg.chr_102_#_151,AO090120000231
10719,exclusively_absent,,fgenesh1_pg.chr_802_#_890,AO090102000316
10720,exclusively_absent,,Aspni5.fgenesh1_pg.C_scaffold_7000030,AO090001000566
10721,core,AFUA_4G09480,estExt_Genewise1.C_chr_601_t10171,AO090001000208
10722,exclusively_absent,AFUA_4G11710,fgenesh1_pg.chr_501_#_152,
10723,exclusively_absent,,Aspni5.fgenesh1_pg.C_scaffold_21000063,AO090012000235
10724,unique,,,AO090103000201
10725,core,AFUA_2G16050,Aspni5.fgenesh1_pm.C_scaffold_6000279,AO090012000196
10726,unique,AFUA_3G02120,,
10727,unique,,,AO090011000068
10728,unique,AFUA_1G00930,,
10729,core,AFUA_7G00360,gw1.202.1776.1,AO090003001495
10730,core,AFUA_3G01200,estExt_Genemark1.C_chr_701_t10263,AO090026000082
10731,unique,,gm1.3635_g,
10732,unique,AFUA_5G09800,,
10733,core,AFUA_3G14300,estExt_fgenesh1_pg.C_chr_101_t10311,AO090020000628
10734,exclusively_absent,AFUA_1G14945,estExt_Genemark1.C_chr_202_t30064,
10735,core,AFUA_2G12180,gm1.5498_g,AO090026000428
10736,unique,,,AO090701000565
10737,unique,,,AO090012000335
10738,unique,,,AO090138000018
10739,unique,AFUA_5G08030,,
10740,core,AFUA_4G03160,Aspni5.e_gw1.8.376.1,AO090011000095
10741,core,AFUA_6G09810,estExt_fgenesh1_pm.C_chr_701_t10435,AO090001000614
10742,unique,,e_gw1.304.612.1,
10743,unique,,,AO090009000282
10744,unique,,gm1.407_g,
10745,unique,,fgenesh1_pg.chr_301_#_303,
10746,exclusively_absent,,e_gw1.701.775.1,AO090003001492
10747,exclusively_absent,,gm1.6800_g,AO090120000504
10748,core,AFUA_2G14040,Aspni5.estExt_GeneWisePlus.C_20902,AO090026000139
10749,unique,,estExt_fgenesh1_pm.C_chr_3030077,
10750,unique,,fgenesh1_pg.chr_202_#_1083,
10751,core,AFUA_3G02390,estExt_Genemark1.C_chr_202_t10093,AO090120000033
10752,unique,,,AO090011000419
10753,unique,,fgenesh1_pg.chr_202_#_1071,
10754,exclusively_absent,,fgenesh1_kg.chr_102_#_5_#_1694_1_EXTC_EXTD,AO090206000005
10755,unique,,gm1.6224_g,
10756,core,AFUA_6G10090,MIX23203_5_37,AO090023000297
10757,unique,,Aspni5.fgenesh1_pg.C_scaffold_10000004,
10758,unique,,estExt_Genemark1.C_chr_602_t10376,
10759,exclusively_absent,AFUA_7G01060,,AO090003000833
10760,unique,,gw1.301.457.1,
10761,unique,,,AO090026000062
10762,unique,,,AO090001000531
10763,unique,,Aspni5.estExt_fgenesh1_pg.C_180118,
10764,unique,AFUA_7G00830,,
10765,unique,AFUA_8G02410,,
10766,unique,,estExt_fgenesh1_pg.C_chr_802_t10263,
10767,unique,AFUA_1G03280,,
10768,exclusively_absent,AFUA_2G01410,,AO090701000824
10769,unique,,fgenesh1_pg.chr_102_#_366,
10770,core,AFUA_4G11260,fgenesh1_pm.chr_602_#_236,AO090120000002
10771,unique,,,AO090010000061
10772,unique,,,AO090001000291
10773,unique,,estExt_fgenesh1_pg.C_chr_5010242,
10774,core,AFUA_3G08600,Aspni5.estExt_fgenesh1_pg.C_20859,AO090005001412
10775,unique,AFUA_3G02840,,
10776,unique,,,AO090010000249
10777,unique,,fgenesh1_pg.chr_502_#_94,
10778,exclusively_absent,AFUA_1G13630,fgenesh1_pg.chr_802_#_503,
10779,core,AFUA_3G13310,gm1.5892_g,AO090012000802
10780,unique,,,AO090038000526
10781,unique,,,AO090701000470
10782,unique,AFUA_2G10830,,
10783,unique,,Aspni5.estExt_fgenesh1_pg.C_11073,
10784,core,AFUA_5G01290,Aspni5.fgenesh1_pg.C_scaffold_19000194,AO090010000635
10785,core,AFUA_8G05700,gm1.4095_g,AO090005000573
10786,unique,,fgenesh1_pm.chr_303_#_3,
10787,core,AFUA_7G05840,estExt_Genemark1.C_chr_401_t10162,AO090005000447
10788,core,AFUA_5G11760,Aspni5.estExt_GeneWisePlus.C_100488,AO090120000294
10789,core,AFUA_5G07170,fgenesh1_pg.chr_501_#_143,AO090701000254
10790,core,AFUA_3G05550,estExt_fgenesh1_pg.C_chr_701_t20381,AO090020000027
10791,unique,,,AO090113000107
10792,unique,,estExt_fgenesh1_pg.C_chr_2010138,
10793,core,AFUA_8G02070,gw1.301.123.1,AO090010000612
10794,unique,,,AO090023000069
10795,exclusively_absent,,fgenesh1_pg.chr_701_#_424,AO090003000332
10796,core,AFUA_5G05940,fgenesh1_pg.chr_501_#_249,AO090009000669
10797,unique,AFUA_5G01640,,
10798,core,AFUA_6G13670,gw1.802.655.1,AO090103000317
10799,unique,,,AO090003001412
10800,core,AFUA_1G14270,MIX6431_4_45,AO090011000385
10801,unique,,CE9015_66,
10802,core,AFUA_2G15860,estExt_fgenesh1_pm.C_chr_3040268,AO090012000226
10803,unique,,fgenesh1_pg.chr_401_#_331,
10804,unique,,Aspni5.fgenesh1_pg.C_scaffold_3000898,
10805,unique,,Aspni5.fgenesh1_pg.C_scaffold_67000002,
10806,core,AFUA_4G06260,e_gw1.602.474.1,AO090023000964
10807,unique,,gm1.4843_g,
10808,exclusively_absent,AFUA_2G06120,,AO090001000730
10809,unique,AFUA_8G00200,,
10810,exclusively_absent,AFUA_2G09930,Aspni5.gw1.7.347.1,
10811,unique,,,AO090010000424
10812,unique,AFUA_4G14700,,
10813,unique,,,AO090011000107
10814,unique,,fgenesh1_pg.chr_801_#_132,
10815,unique,,MIX10361_4_60,
10816,unique,,estExt_fgenesh1_pg.C_chr_102_t10485,
10817,unique,,Aspni5.fgenesh1_pg.C_scaffold_3000040,
10818,unique,,gw1.502.759.1,
10819,unique,,estExt_Genewise1Plus.C_chr_6040078,
10820,unique,,e_gw1.301.56.1,
10821,exclusively_absent,,estExt_fgenesh1_pg.C_chr_202_t20383,AO090103000096
10822,unique,,,AO090010000556
10823,unique,AFUA_4G04570,,
10824,exclusively_absent,AFUA_4G02780,,AO090026000757
10825,core,AFUA_5G07470,MIX10086_2_22,AO090701000656
10826,unique,AFUA_1G16010,,
10827,unique,AFUA_1G01780,,
10828,core,AFUA_2G12170,fgenesh1_pg.chr_402_#_339,AO090026000429
10829,unique,,,AO090010000168
10830,unique,AFUA_6G07650,,
10831,unique,,fgenesh1_pg.chr_603_#_21,
10832,unique,AFUA_5G14730,,
10833,unique,AFUA_1G16670,,
10834,exclusively_absent,,fgenesh1_pg.chr_304_#_589,AO090011000055
10835,unique,,e_gw1.303.159.1,
10836,exclusively_absent,AFUA_7G01170,,AO090010000104
10837,exclusively_absent,AFUA_3G02250,,AO090038000058
10838,exclusively_absent,AFUA_6G12800,,AO090003000401
10839,core,AFUA_1G02770,Aspni5.estExt_GeneWisePlus.C_11774,AO090005000817
10840,unique,,,AO090103000308
10841,exclusively_absent,,fgenesh1_pg.chr_202_#_116,AO090012000608
10842,unique,,Aspni5.fgenesh1_pg.C_scaffold_4000510,
10843,unique,AFUA_7G07130,,
10844,exclusively_absent,AFUA_4G10110,estExt_Genewise1.C_chr_602_t20481,
10845,unique,AFUA_2G15250,,
10846,unique,,Aspni5.fgenesh1_pg.C_scaffold_11000419,
10847,core,AFUA_5G09650,estExt_fgenesh1_pg.C_chr_401_t10229,AO090020000594
10848,core,AFUA_5G09600,fgenesh1_pg.chr_401_#_237,AO090020000590
10849,core,AFUA_8G02290,fgenesh1_pg.chr_401_#_62,AO090026000736
10850,unique,,,AO090011000704
10851,unique,,fgenesh1_pg.chr_802_#_640,
10852,unique,,MIX10355_4_55,
10853,core,AFUA_5G12780,gm1.9704_g,AO090010000134
10854,exclusively_absent,,Aspni5.fgenesh1_pg.C_scaffold_2000788,AO090020000177
10855,unique,,fgenesh1_pg.chr_201_#_108,
10856,unique,,MIX26530_12_89,
10857,unique,,gm1.4347_g,
10858,exclusively_absent,,Aspni5.fgenesh1_pg.C_scaffold_7000453,AO090113000113
10859,unique,,e_gw1.304.923.1,
10860,unique,,,AO090103000431
10861,unique,,gm1.11118_g,
10862,unique,,,AO090001000310
10863,core,AFUA_5G03770,fgenesh1_pm.chr_101_#_316,AO090102000588
10864,unique,,,AO090010000180
10865,core,AFUA_3G12140,fgenesh1_pg.chr_402_#_619,AO090003000774
10866,core,AFUA_5G11370,MIX26313_22_83,AO090026000701
10867,unique,AFUA_1G01280,,
10868,unique,AFUA_6G09410,,
10869,unique,,,AO090026000068
10870,unique,AFUA_3G06990,,
10871,core,AFUA_8G04230,estExt_Genemark1.C_chr_5030163,AO090103000038
10872,unique,,fgenesh1_pg.chr_402_#_314,
10873,exclusively_absent,,fgenesh1_pg.chr_701_#_334,AO090701000333
10874,unique,,fgenesh1_pm.chr_303_#_45,
10875,core,AFUA_4G03390,gm1.769_g,AO090011000329
10876,unique,AFUA_2G18060,,
10877,unique,,fgenesh1_pg.chr_801_#_270,
10878,unique,,fgenesh1_pg.chr_601_#_247,
10879,unique,,,AO090701000322
10880,core,AFUA_2G15820,estExt_fgenesh1_pg.C_chr_304_t10459,AO090012000240
10881,unique,,fgenesh1_pm.chr_202_#_72,
10882,unique,,fgenesh1_pg.chr_102_#_192,
10883,unique,AFUA_1G00740,,
10884,exclusively_absent,AFUA_5G07720,,AO090701000678
10885,unique,AFUA_3G13570,,
10886,unique,AFUA_8G06230,,
10887,core,AFUA_3G14820,fgenesh1_pg.chr_603_#_11,AO090103000429
10888,unique,,,AO090011000834
10889,core,AFUA_5G02150,Aspni5.estExt_fgenesh1_pg.C_20756,AO090102000273
10890,unique,AFUA_6G07240,,
10891,unique,,,AO090005000244
10892,unique,,,AO090010000543
10893,unique,,MIX4120_5_30,
10894,unique,,,AO090001000558
10895,unique,,,AO090005000307
10896,core,AFUA_4G11550,CE32898_283,AO090003001065
10897,unique,AFUA_1G17210,,
10898,core,AFUA_1G10950,estExt_Genemark1.C_chr_802_t10249,AO090038000311
10899,unique,,estExt_Genewise1.C_chr_601_t10046,
10900,unique,,,AO090010000435
10901,unique,,estExt_Genewise1Plus.C_chr_601_t10398,
10902,unique,,fgenesh1_pg.chr_202_#_1158,
10903,exclusively_absent,AFUA_6G11650,gm1.10808_g,
10904,unique,,estExt_fgenesh1_pg.C_chr_101_t10220,
10905,unique,,,AO090701000392
10906,unique,,,AO090026000609
10907,unique,AFUA_2G17980,,
10908,unique,AFUA_2G10480,,
10909,unique,,estExt_Genewise1.C_chr_101_t10287,
10910,core,AFUA_5G07850,estExt_Genemark1.C_chr_601_t10288,AO090701000693
10911,unique,,fgenesh1_pg.chr_301_#_205,
10912,core,AFUA_1G12160,fgenesh1_pg.chr_802_#_339,AO090001000328
10913,exclusively_absent,AFUA_6G10690,MIX23024_2_20,
10914,exclusively_absent,AFUA_3G11050,,AO090003000660
10915,unique,,gm1.8789_g,
10916,unique,,,AO090012000011
10917,core,AFUA_5G01970,estExt_Genemark1.C_chr_502_t10155,AO090003001322
10918,unique,,,AO090701000902
10919,unique,,fgenesh1_pg.chr_202_#_1172,
10920,unique,,,AO090011000228
10921,core,AFUA_6G02190,Aspni5.fgenesh1_pg.C_scaffold_9000082,AO090120000104
10922,core,AFUA_4G13560,gm1.2236_g,AO090009000218
10923,unique,,Aspni5.fgenesh1_pg.C_scaffold_4000202,
10924,unique,,estExt_fgenesh1_pg.C_chr_304_t20061,
10925,unique,,estExt_Genemark1.C_chr_802_t20139,
10926,core,AFUA_2G03220,estExt_fgenesh1_pg.C_chr_401_t20038,AO090120000264
10927,unique,,,AO090005000330
10928,exclusively_absent,AFUA_3G00800,,AO090010000712
10929,core,AFUA_2G06280,estExt_fgenesh1_pg.C_chr_402_t30136,AO090001000747
10930,core,AFUA_6G00540,estExt_Genewise1Plus.C_chr_302_t20291,AO090010000358
10931,unique,,fgenesh1_pg.chr_602_#_232,
10932,unique,,,AO090009000113
10933,unique,,e_gw1.101.645.1,
10934,exclusively_absent,AFUA_5G13250,estExt_Genewise1Plus.C_chr_102_t20284,
10935,unique,AFUA_7G04870,,
